title,calories,price,price/unit,product_image
ACEITE DE OLIVA BORGES VIRGEN EXTRA ARBEQUINA 75 CL,900 ,,"      7,45€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE HC VIRGEN EXTRA 1 L,822 ,,"      4,75€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE BORGES VIRGEN EXTRA 2 L,,,"      5,80€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE DE OLIVA BORGES VIRGEN EXTRA 1 L,900 ,,"      6,25€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE DE OLIVA CARBONELL VIRGEN EXTRA TRIANGULAR 1 L,900 ,,"      5,69€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE DE OLIVA CARBONELL VIRGEN EXTRA GRAN SELECCIÓN 75 CL,900 ,,"      6,65€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
NEVADITOS REGLERO HOJALDRADOS 500 G,519 ,,"      9,78€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/210674.jpg
BARQUILLOS BAHLSEN WAFFELETTEN 100 G,542 ,,"     17,50€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/210674.jpg
ACEITE DE OLIVA BORGES VIRGEN EXTRA ARBEQUINA 3 L,900 ,,"      7,17€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE DE OLIVA PRIORDEI VIRGEN EXTRA GRAN COUPAGE 2 L,900 ,,"      5,98€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE DE OLIVA HOJIBLANCA VIRGEN EXTRA 1 L,900 ,,"      5,89€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE HC VIRGEN EXTRA 750 ML,822 ,,"      6,00€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE CARBONELL VIRGEN EXTRA SPRAY 200 ML,900 ,,"     12,45€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE BORGES ALBAHACA FRESCA 200 ML,900 ,,"     16,75€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE HC VIRGEN EXTRA 3 L,822 ,,"      4,72€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE GERMANOR VIRGEN EXTRA 2 L,,,"      6,48€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE OLIVA COOSUR VIRGEN SERIE ORO 1 L,,,"      4,99€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE DE OLIVA BORGES VIRGEN EXTRA ECOLÓGICO 1 L,900 ,,"      6,35€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE OLIVA FLOR DE OLIVO VIRGEN EXTRA 1 L,,,"      5,10€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE DE OLIVA COOSUR VIRGEN EXTRA HOJIBLANCA 1 L,822 ,,"      5,99€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE HC VIRGEN ARBEQUINA 750 ML,822 ,,"      6,60€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE DE OLIVA GERMANOR VIRGEN EXTRA ARBEQUINA 750 ML,,,"      8,79€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE DE OLIVA COOSUR VIRGEN EXTRA PICUAL 1 L,822 ,,"      5,99€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE OLEAURUM VIRGEN EXTRA D.O. SIURANA 750 ML,,,"     11,93€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE DE OLIVA BARGALLÓ VIRGEN EXTRA ARBEQUINA 750 ML,900 ,,"      7,93€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE DE OLIVA BARGALLÓ VIRGEN EXTRA COUPAGE 750 ML,900 ,,"      7,93€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE DE OLIVA COOSUR VIRGEN EXTRA 1 L,900 ,,"      5,59€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE OLIVA FLOR DE OLIVO VIRGEN EXTRA CRISTAL 500 ML,,,"      8,78€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE OLIVA MESTRAL VIRGEN EXTRA 75 CL,,,"      9,80€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE DE OLIVA PRIORDEI VIRGEN EXTRA GRAN COUPAGE 500 ML,900 ,,"      8,58€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE PRIORDEI TRUFA BLANCA 250 ML,900 ,,"     25,00€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
ACEITE PRIORDEI GRAND COUPAGE 250 ML,900 ,,"      7,96€/Litro",//static.condisline.com/resize_190x200/images/catalog/large/102003.jpg
PAN TOSTADO FINA TOMATE & ORÉGANO 160 G,,,"      5,56€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/211790.jpg
PAN TOSTADO FINA AJO & PEREJIL 160 G,,,"      5,56€/Kilo",//static.condisline.com/resize_190x200/images/catalog/large/211790.jpg
